STD_ID,YEAR_ID,GENDER_ID,NATIONALITY,MAJOR_ID,STS_ID,PUNISH_STS_ID,ACC_HOURS,ACC_AVG,BRANCH_COUNTRY,BRANCH_AVG,ACD_STS_ID,ACD_STS
1,1991,1,1,24,2,0,132,72.2,1,73.8,2,0
2,1991,1,1,24,2,0,132,81.7,1,83.2,1,0
3,1991,1,1,24,2,0,132,67.3,310,79.4,1,0
4,1991,2,1,24,2,0,132,60.2,1,69.5,1,0
5,1991,1,1,24,2,0,132,68.8,1,61.1,1,0
6,1991,1,1,24,3,0,96,57.4,1,64.2,1,0
7,1991,1,1,24,2,0,132,65.6,1,67.5,1,0
8,1991,1,1,24,2,0,132,76.1,1,69.7,1,0
9,1991,1,1,24,2,0,132,73.4,1,69,1,0
10,1991,2,1,24,7,0,0,,1,67.6,10,1
11,1991,1,1,24,4,0,36,57.3,1,77,12,1
12,1991,1,1,24,2,0,132,75,1,72.6,1,0
13,1991,1,1,24,2,0,132,81.6,1,71.1,1,0
14,1991,2,1,24,4,0,24,70.4,1,81.9,12,1
15,1991,1,1,24,4,0,0,70.4,310,84.8,12,1
16,1991,1,1,24,3,0,42,56.1,1,67.7,1,0
17,1991,2,1,24,2,0,132,71.9,1,76.9,1,0
18,1991,1,1,24,2,0,132,69,1,66.1,1,0
19,1991,1,1,24,2,0,132,68,1,70.1,1,0
20,1991,1,1,24,4,0,0,56.1,310,60.2,12,1
21,1991,2,1,24,2,0,132,75.6,310,93,1,0
22,1991,1,1,24,2,0,132,78.3,1,65.4,1,0
23,1991,1,1,24,2,0,132,79.5,1,64.8,1,0
24,1991,1,1,24,2,0,132,69.7,1,70.5,1,0
25,1991,2,1,24,2,0,132,74.2,1,69.6,1,0
26,1991,1,1,24,4,0,0,,1,70.9,12,1
27,1991,1,1,24,7,0,72,58.9,1,73.2,10,1
28,1991,1,1,24,2,0,132,62.3,313,80.8,1,0
29,1991,1,1,24,2,0,132,62.4,1,72.3,1,0
30,1991,2,1,24,2,0,132,67.1,1,67.7,1,0
31,1991,2,310,24,3,0,82,58.3,1,66,1,0
32,1991,1,1,24,2,0,132,82.1,1,73.9,1,0
33,1991,1,1,24,2,0,132,70.6,1,69.6,1,0
34,1991,1,1,24,3,0,15,49.8,1,67.5,1,0
35,1991,1,1,24,4,0,0,49.8,1,76.3,12,1
36,1991,1,1,24,2,0,132,65.1,1,62.6,1,0
37,1991,1,1,24,4,0,24,67,1,62,12,1
38,1991,1,1,24,2,0,132,64,1,64.9,1,0
39,1991,1,1,24,4,0,24,60.8,313,77.1,12,1
40,1991,1,1,24,3,0,102,56.4,314,73.5,1,0
41,1991,2,1,24,2,0,132,63.2,1,64.3,1,0
42,1991,1,1,24,2,0,132,72,312,72.2,1,0
43,1991,2,1,24,2,0,132,63.2,1,64.1,1,0
44,1991,1,1,24,4,0,73,62.3,1,72.6,12,1
45,1991,1,1,24,2,0,132,67.5,1,72.1,1,0
46,1991,1,1,24,2,0,132,87.2,312,89.5,1,0
47,1991,1,1,24,2,0,132,60.3,1,62.4,1,0
48,1991,1,1,24,2,0,132,70.8,1,64.6,1,0
49,1991,1,2,24,2,0,132,68.5,312,69.2,1,0
50,1991,1,1,24,4,0,0,62.3,1,67.8,12,1
51,1991,1,1,24,2,0,132,92.5,312,94.4,1,0
52,1991,1,1,24,2,0,132,65.3,1,70.2,1,0
53,1991,2,1,24,2,0,132,73.6,312,89.7,1,0
54,1991,1,1,24,2,0,132,76.7,1,68.1,1,0
55,1991,1,1,24,2,0,132,60.9,1,60,1,0
56,1991,1,1,24,2,0,132,71.7,1,73.6,1,0
57,1991,1,1,24,7,0,84,63.6,1,76.7,10,1
58,1991,2,1,24,2,0,132,71.8,1,65,1,0
59,1991,1,1,24,2,0,132,76.2,1,66.6,1,0
60,1991,1,1,24,3,0,27,58.1,310,60.2,1,0
61,1991,1,1,24,2,0,132,68.3,1,68.2,1,0
62,1991,1,1,24,2,0,132,70,1,76.1,1,0
63,1991,2,1,24,2,0,132,63.4,1,62.5,1,0
64,1991,2,1,24,4,0,24,58.1,1,60.1,12,1
65,1991,1,1,24,2,0,132,80.1,312,89.1,1,0
66,1991,1,1,24,3,0,27,52.5,310,78.3,1,0
67,1991,1,1,24,2,0,132,71.5,1,70.8,1,0
68,1991,1,1,24,2,0,132,73.5,1,74.9,1,0
69,1991,1,1,24,4,0,69,64.7,1,60.9,12,1
70,1991,2,1,24,4,0,0,64.7,1,64.1,12,1
71,1991,1,1,24,4,0,0,64.7,1,61.3,12,1
72,1991,1,1,24,2,0,132,70.6,1,75.3,1,0
73,1991,1,1,24,2,0,132,62.7,312,70,1,0
74,1991,1,1,24,2,0,132,65.9,1,70.5,1,0
75,1991,2,1,24,2,0,132,72.3,1,73,1,0
76,1991,1,1,24,2,0,132,78.8,312,84.3,1,0
77,1991,2,1,24,2,0,132,85.3,312,94.7,1,0
78,1991,1,2,24,2,0,132,87.6,1,77.6,1,0
79,1991,1,1,24,3,0,48,54.5,1,76.5,1,0
80,1991,1,321,24,7,0,67,59.1,1,71.3,10,1
81,1991,1,1,24,2,0,132,73.2,1,70.4,1,0
82,1991,1,1,24,2,0,132,81.4,1,76.9,1,0
83,1991,1,1,24,2,0,132,68.7,1,62.4,1,0
84,1991,1,1,24,2,0,132,68.3,1,70.6,1,0
85,1991,1,1,24,2,0,132,82.1,312,83.9,1,0
86,1991,1,1,24,3,0,30,52.3,313,64,1,0
87,1991,1,1,24,2,0,132,66.7,1,61.9,1,0
88,1991,2,1,24,4,0,55,56.5,310,90.6,12,1
89,1991,1,1,24,2,0,132,74.1,1,75,1,0
90,1991,1,1,24,4,0,0,56.5,310,68.5,12,1
91,1991,1,1,24,2,0,132,74.1,1,61.8,1,0
92,1991,1,1,24,4,0,0,56.5,1,62.9,12,1
93,1991,1,1,24,2,0,132,70.5,1,66.5,1,0
94,1991,1,1,24,2,0,132,75.5,1,73.7,1,0
95,1991,2,1,24,2,0,132,62.8,1,60.7,1,0
96,1991,2,1,24,2,0,132,70.4,1,64.5,1,0
97,1991,1,1,24,2,0,132,64.8,1,69.2,1,0
98,1991,2,1,24,4,0,27,63,1,62.3,12,1
99,1991,1,1,24,2,0,132,66.3,1,71.3,1,0
100,1991,1,1,24,2,0,132,70.6,1,66.8,1,0
101,1991,1,2,24,2,0,132,62.5,1,62.9,1,0
102,1991,1,1,24,2,0,132,62.7,1,70.8,1,0
103,1991,1,1,24,2,0,132,84.5,1,69.8,1,0
104,1991,1,1,24,2,0,132,67.8,1,68.6,1,0
105,1991,1,1,24,2,0,132,70,310,85.5,1,0
106,1991,1,1,24,2,0,132,70.8,1,71.9,1,0
107,1991,1,1,24,2,0,132,63.5,1,72.7,1,0
108,1991,1,1,24,2,0,132,69.4,1,63.1,1,0
109,1991,1,1,24,2,0,132,68.5,310,75.3,1,0
110,1991,1,1,24,2,0,132,75.2,1,62.3,1,0
111,1991,1,1,24,2,0,132,79.8,1,71.9,1,0
112,1991,1,2,24,4,0,0,59.1,1,82.6,12,1
113,1991,1,1,24,4,0,60,67,1,61.5,12,1
114,1991,1,1,24,2,0,132,61.2,1,63.5,1,0
115,1991,1,1,24,2,0,132,66.9,1,66.5,1,0
116,1991,1,1,24,2,0,132,87.5,312,90.5,1,0
117,1991,1,1,24,2,0,132,80.5,1,71,1,0
118,1991,1,1,24,2,0,132,71.7,310,88,1,0
119,1991,1,1,24,4,0,0,59.1,310,60.8,12,1
120,1991,1,1,24,2,0,132,65.4,1,60.8,1,0
121,1991,1,1,24,2,0,132,69.2,1,76.6,1,0
122,1991,1,1,24,2,0,132,85.8,1,68.4,1,0
123,1991,1,1,24,2,0,132,76.2,1,70.1,1,0
124,1991,2,1,24,2,0,132,89.4,1,85.7,1,0
125,1991,2,1,24,2,0,132,76.4,1,69.6,1,0
126,1991,1,1,24,2,0,132,79.8,1,75.3,1,0
127,1991,1,1,24,4,0,0,67,312,60.7,12,1
128,1991,1,1,24,2,0,132,72.9,1,63.7,1,0
129,1991,1,1,24,4,0,0,67,312,81.1,12,1
130,1991,1,1,24,2,0,132,74.5,1,80.2,1,0
131,1991,1,1,24,3,0,91,56.8,1,64.8,1,0
132,1991,1,1,24,2,0,132,61.3,1,68.8,1,0
133,1991,1,1,24,2,0,132,70.7,312,71.1,1,0
134,1991,1,1,24,2,0,132,71.6,1,60.6,1,0
135,1992,2,1,24,2,0,132,81.9,1,77.9,1,0
136,1992,1,1,24,2,0,132,71.8,1,78.7,1,0
137,1992,1,1,24,2,0,132,60.2,1,74.8,1,0
138,1992,1,1,24,2,0,132,62.5,1,64.4,1,0
139,1992,1,1,24,2,0,132,70.7,1,62.6,1,0
140,1992,1,1,24,2,0,132,61.1,1,62.9,1,0
141,1992,1,1,24,2,0,132,64.8,1,77.7,1,0
142,1992,1,1,24,2,0,132,62.3,1,64.6,1,0
143,1992,1,1,24,2,0,132,84,312,86.7,1,0
144,1992,1,1,24,2,0,132,70.1,1,74.5,1,0
145,1992,1,1,24,2,0,132,66.1,1,64.7,1,0
146,1992,1,1,24,2,0,132,87,312,94.1,1,0
147,1992,2,1,24,2,0,132,63.5,1,65.8,1,0
148,1992,1,1,24,2,0,132,70,1,62.7,1,0
149,1992,1,1,24,2,0,132,78,1,73.9,1,0
150,1992,1,1,24,2,0,132,70.7,1,68.3,1,0
151,1992,1,1,24,2,0,132,62.2,1,62.6,1,0
152,1992,1,2,24,4,0,52,54.1,310,77.4,12,1
153,1992,1,1,24,2,0,132,65.2,1,61.9,1,0
154,1992,1,1,24,2,0,132,76,1,79.6,1,0
155,1992,1,1,24,2,0,132,64,1,77.1,1,0
156,1992,1,1,24,2,0,132,63.7,1,64.3,1,0
157,1992,1,1,24,2,0,132,65.1,1,65.5,1,0
158,1992,1,1,24,2,0,132,68.7,1,68.2,1,0
159,1992,1,1,24,2,0,132,63.5,1,61.6,1,0
160,1992,1,1,24,2,0,132,61.9,1,61,1,0
161,1992,2,1,24,2,0,132,62,1,75.1,1,0
162,1992,2,1,24,2,0,132,78.8,1,70.3,1,0
163,1992,1,1,24,2,0,132,65,1,73.2,1,0
164,1992,1,1,24,4,0,52,66.3,1,66.2,12,1
165,1992,2,1,24,2,0,132,60.6,1,62.7,1,0
166,1992,1,1,24,2,0,132,65.6,1,63.1,1,0
167,1992,1,1,24,2,0,132,61.5,1,64.7,1,0
168,1992,1,1,24,4,0,54,58.2,313,77.7,12,1
169,1992,1,1,24,2,0,132,70.4,1,66.8,1,0
170,1992,1,1,24,2,0,132,82.3,1,76.4,1,0
171,1992,1,1,24,3,0,15,48.7,314,76.3,1,0
172,1992,1,1,24,2,0,132,62.6,1,68.1,1,0
173,1992,1,1,24,2,0,132,61,1,69.5,1,0
174,1992,1,1,24,4,0,0,48.7,1,77,12,1
175,1992,1,1,24,2,0,132,72.6,1,74.3,1,0
176,1992,1,1,24,2,0,132,66.1,1,65,1,0
177,1992,2,1,24,3,0,85,58.1,1,61,1,0
178,1992,1,1,24,2,0,132,75.4,1,71.4,1,0
179,1992,1,1,24,2,0,132,62.2,310,76,1,0
180,1992,1,1,24,7,0,12,47.1,310,82,1,0
181,1992,1,1,24,4,0,6,39.7,1,63.8,12,1
182,1992,1,1,24,2,0,132,60.5,1,72.5,1,0
183,1992,1,1,24,2,0,132,62.5,1,61.5,1,0
184,1992,1,1,24,4,0,67,60.8,1,70,12,1
185,1992,1,1,24,7,0,0,62.6,310,67.6,10,1
186,1992,1,1,24,2,0,132,68.9,1,66,1,0
187,1992,1,1,24,2,0,132,76.3,1,65.2,1,0
188,1992,2,1,24,2,0,132,62.8,1,62.8,1,0
189,1992,2,1,24,3,0,97,59,1,62.3,1,0
190,1992,1,1,24,2,0,132,68.8,1,73.1,1,0
191,1992,1,1,24,2,0,132,65.8,312,77.6,1,0
192,1992,1,1,24,4,0,33,49.4,310,77.2,12,1
193,1992,1,1,24,7,0,0,59,643,70,10,1
194,1992,2,1,24,2,0,132,75.5,1,74,1,0
195,1992,1,1,24,2,0,132,68.7,1,71.1,1,0
196,1992,1,1,24,7,0,0,49.4,1,75.3,10,1
197,1992,1,1,24,2,0,132,61.5,1,77.7,1,0
198,1992,1,1,24,2,0,132,69.6,1,65.1,1,0
199,1992,1,1,24,2,0,132,76.4,1,71.8,1,0
200,1992,1,2,24,2,0,132,76.4,312,79.8,1,0
201,1992,1,1,24,2,0,132,60.5,313,67.8,1,0
202,1992,2,1,24,2,0,132,67,312,71.9,1,0
203,1992,1,1,24,2,0,132,64.3,1,76.5,1,0
204,1992,2,1,24,2,0,132,65.8,1,63.7,1,0
205,1992,1,1,24,2,0,132,60.2,310,73.4,1,0
206,1992,1,1,24,4,0,12,52.9,1,73,12,1
207,1992,1,1,24,2,0,132,61.7,1,61.4,1,0
208,1992,1,1,24,2,0,132,62.5,313,73.8,1,0
209,1992,2,1,24,7,0,0,52.9,312,84,10,1
210,1992,1,1,24,2,0,132,73.3,1,65,1,0
211,1992,1,1,24,2,0,132,69.6,312,71.4,1,0
212,1992,1,2,24,2,0,132,86,312,75.5,1,0
213,1992,1,1,24,2,0,132,66,1,64.2,1,0
214,1992,1,1,24,2,0,132,65.4,1,69.1,1,0
215,1992,1,1,24,2,0,132,69.5,1,66,1,0
216,1992,1,1,24,7,0,24,78.4,312,82,1,0
217,1992,1,1,24,2,0,132,74.7,1,80.9,1,0
218,1992,1,1,24,2,0,132,72.2,1,72.2,1,0
219,1992,1,2,24,4,0,0,59,1,69.4,12,1
220,1992,1,1,24,2,0,132,72,1,70.1,1,0
221,1992,1,1,24,2,0,132,69.9,1,77.7,1,0
222,1992,1,1,24,2,0,132,62.3,1,70.6,1,0
223,1992,1,1,24,2,0,132,67.9,1,72.6,1,0
224,1992,1,1,24,2,0,132,76.3,1,70.6,1,0
225,1992,1,1,24,2,0,132,65.7,1,79.2,1,0
226,1992,1,1,24,7,0,0,78.4,1,78.7,10,1
227,1992,1,1,24,2,0,132,77.2,1,70.8,1,0
228,1992,1,1,24,2,0,132,71.8,1,69.2,1,0
229,1992,1,1,24,7,0,18,52.1,310,77,10,1
